name,name_kr,bre_name,country,대분류,소분류,abv,image
Hoss Oktoberfest Lager,,Great Divide Brewing Company,US,ETC,German Marzen / Oktoberfest,6.2,pa.jpg
Horseshoes & Hand Grenades American ESB Ale,,Crazy Mountain Brewing Company,US,ETC,English Extra Special / Strong Bitter (ESB),6,pa.jpg
Horseheads IPA,,Horseheads Brewing Inc.,US,ALE,American IPA,8.8,ipa.jpg
Horny Toad Blonde,,COOP Ale Works,US,ALE,American Blonde Ale,5.3,pa.jpg
Horny Monk,,Petoskey Brewing Company,US,ETC,Belgian Dubbel,6.9,lg.jpg
Horny Goat Wisconzin IPA,,Horny Goat Brewing Co.,US,ALE,American IPA,7.1,ipa.jpg
Horny Goat Watermelon Wheat,,Horny Goat Brewing Co.,US,ALE,American Pale Wheat Ale,5.6,pa.jpg
Horny Goat Stacked,,Horny Goat Brewing Co.,US,STOUT,English Sweet / Milk Stout,4,st.jpg
Horny Goat Laka Laka,,Horny Goat Brewing Co.,US,WEIZEN,German Hefeweizen,5.1,lg.jpg
Horny Goat HornyCopia Pumpkin Ale,,Horny Goat Brewing Co.,US,ETC,Pumpkin Beer,6.3,lg.jpg
Horny Goat Horny Blonde,,Horny Goat Brewing Co.,US,LAGER,American Light Lager,5,lg.jpg
Horny Goat Hopped Up And Horny,,Horny Goat Brewing Co.,US,ALE,American IPA,5.5,ipa.jpg
Horny Goat Exposed,,Horny Goat Brewing Co.,US,ALE,American Cream Ale,4.9,pa.jpg
Horny Goat Chocolate Peanut Butter Porter,,Horny Goat Brewing Co.,US,PORTER,American Porter,6.5,pt.jpg
Horny Goat Brownie Porter,,Horny Goat Brewing Co.,US,ALE,American Brown Ale,5.6,bale.jpg
Horny Devil,,AleSmith Brewing Company,US,ALE,Belgian Strong Pale Ale,10,pa.jpg
Hornswoggled,,Cigar City Brewing,US,ALE,Irish Red Ale,5,rale.jpg
Horizon Red IPA,,Summit Brewing Company,US,ALE,American IPA,5.7,ipa.jpg
Horicon Session IPA,,Central Waters Brewing Co.,US,ALE,American IPA,4.5,ipa.jpg
Hopzone IPA,,Bozeman Brewing Company,US,ALE,American IPA,7,ipa.jpg
Hopzilla,,Lawson's Finest Liquids,US,ALE,American Imperial IPA,8.7,ipa.jpg
Hopzeit Autumn IPA,,Deschutes Brewery,US,ALE,American IPA,7,ipa.jpg
Hopworks IPA,,Hopworks Urban Brewery,US,ALE,American IPA,6.6,ipa.jpg
Hopvale Organic Ale,,Summit Brewing Company,US,ALE,American Pale Ale (APA),4.7,pa.jpg
Hopulization,,Stoneface Brewing Co.,US,ALE,American Imperial IPA,8.9,ipa.jpg
Hopulent IPA,,Epic Brewing Company,US,ALE,American Imperial IPA,8.4,ipa.jpg
Hopulence American Double I.P.A.,,Wormtown Brewery,US,ALE,American Imperial IPA,8.5,ipa.jpg
Hoptronix Double India Pale Ale,,New Holland Brewing Company,US,ALE,American Imperial IPA,9,ipa.jpg
Hop-Trio,,Knee Deep Brewing Company,US,ALE,American Imperial IPA,11.1,ipa.jpg
Hoptopus,,Reaver Beach Brewing Company,US,ALE,American Imperial IPA,8.8,ipa.jpg
Hoptopia,,Scuttlebutt Brewing Company - Restaurant and Pub,US,ALE,American Imperial IPA,8,ipa.jpg
Hoptopia,,Hermitage Brewing,US,ALE,American Imperial IPA,8,ipa.jpg
Hoptonic,,Smog City Brewing,US,ALE,American IPA,7.3,ipa.jpg
Hoptometrist,,Roughtail Brewing Co.,US,ALE,American Imperial IPA,9,ipa.jpg
Hoptologist DIPA,,Knee Deep Brewing Company,US,ALE,American Imperial IPA,9,ipa.jpg
Hoptober Golden Ale,,New Belgium Brewing,US,ALE,American Blonde Ale,6,pa.jpg
Hoptitude Imperial Extra Pale Ale,,The Fort Collins Brewery,US,ALE,American Imperial IPA,8.5,ipa.jpg
Hoptimus Prime,,Ruckus Brewing,US,ALE,American Imperial IPA,9,ipa.jpg
Hoptimus Prime,,Legacy Brewing Co.,US,ALE,American Imperial IPA,9,ipa.jpg
Hoptimum,,Sierra Nevada Brewing Co.,US,ALE,American Imperial IPA,9.6,ipa.jpg
Hoptimization IPA,,Brothers Craft Brewing,US,ALE,American IPA,7.1,ipa.jpg
Hoptimistic IPA,,Charleville Vineyard Microbrewery,US,ALE,American IPA,6.5,ipa.jpg
Hoptical Illusion,,Blue Point Brewing Company,US,ALE,American IPA,7,ipa.jpg
Hopsynth Dry-Hopped Sour Ale,,Upland Brewing Company,US,ALE,American Wild Ale,6,pa.jpg
Hopstitution #5: BAM!,,Jack's Abby Brewing,US,LAGER,American Lager,5.5,lg.jpg
Hopstitution #4: Aussie Rules,,Jack's Abby Brewing,US,LAGER,American Lager,5.5,lg.jpg
Hopstitution #3: Calyptra,,Jack's Abby Brewing,US,LAGER,American Lager,6.7,lg.jpg
Hopstitution #2: XPL,,Jack's Abby Brewing,US,LAGER,American Lager,5.5,lg.jpg
Hopstillo IPA,,Broad Brook Brewing Company,US,ALE,American IPA,6.8,ipa.jpg
Hopster,,New Glarus Brewing Company,US,ALE,American Pale Wheat Ale,5.9,pa.jpg
Hopstar Session India Pale Ale,,Fulton Beer,US,ALE,American IPA,4.9,ipa.jpg
HOPSMACK!,,Toppling Goliath Brewing Company,US,ALE,American Imperial IPA,7.7,ipa.jpg
Hopslam Ale,,Bell's Brewery - Eccentric Caf챕 & General Store,US,ALE,American Imperial IPA,10,ipa.jpg
Hopsickle Imperial India Pale Ale,,Moylan's Brewery,US,ALE,American Imperial IPA,9.2,ipa.jpg
Hopsession Super Pale Ale,,Brau Brothers Brewing Co. LLC,US,ALE,American Pale Ale (APA),4.2,pa.jpg
Hopsauce,,Rubicon Brewing Company,US,ALE,American Imperial IPA,8.2,ipa.jpg
Hops On Rye,,Firehouse Grill & Brewery,US,ALE,American IPA,7.5,ipa.jpg
Hops Of Wrath,,Dust Bowl Brewing Company - Downtown Taproom,US,ALE,American IPA,6.6,ipa.jpg
Hops N' Roses,,Captain Lawrence Brewing Co.,US,ALE,American Wild Ale,7,pa.jpg
Hops Infusion,,Weyerbacher Brewing Co.,US,ALE,American IPA,6.2,ipa.jpg
Hops 4 Teacher,,J. Wakefield Brewing,US,ALE,American IPA,6,ipa.jpg
Hoppy Wheat,,Sierra Nevada Brewing Co.,US,ALE,American Pale Wheat Ale,6.2,pa.jpg
Hoppy Trails IPA,,Appalachian Brewing Company,US,ALE,American IPA,6,ipa.jpg
Hoppy Table Beer,,Allagash Brewing Company,US,ALE,Belgian Pale Ale,4.8,pa.jpg
Hoppy Sour: Mosaic,,Almanac Beer Co.,US,ALE,American Wild Ale,7,pa.jpg
Hoppy Red,,Boston Beer Company (Samuel Adams),US,ALE,American Amber / Red Ale,5.7,rale.jpg
Hoppy Quad,,Victory Brewing Company - Downingtown,US,ETC,Belgian Quadrupel (Quad),13,pa.jpg
Hoppy Poppy IPA,,Figueroa Mountain Brewing Co.,US,ALE,American IPA,6.5,ipa.jpg
Hoppy Lager,,Sierra Nevada Brewing Co.,US,LAGER,American Lager,7,lg.jpg
Hoppy Ki Yay,,Lonerider Brewing Company,US,ALE,American IPA,6.6,ipa.jpg
Hoppy Hour IPA,,"Mash House Restaurant & Brewery, The",US,ALE,American IPA,5.9,ipa.jpg
Hoppy Holidaze,,Marin Brewing Company,US,ETC,Winter Warmer,7,lg.jpg
Hoppy Feet 2.0,,Clown Shoes,US,ALE,American Black Ale,10,dale.jpg
